realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
"Now that wasn’t very nice, was it?",2019-12-28,"On est en voie d’afficher la 2e plus forte croissance économique du G7, la meilleure croissance des salaires en 10 ans et le plus faible taux de chômage en 40 ans. On continuera d'investir en vous pour rendre la vie meilleure et plus abordable. Info : https://bit.ly/36I7MWc",2019-12-16
Our great First Lady. She really cares!,2019-12-28,"Thanks for the meeting in Ottawa today, @BlaineHiggs. We’ll keep working together on important issues like health care, the environment, jobs, and softwood lumber to make life better for New Brunswickers.",2019-12-16
"Congresswoman Lesko, a great American!",2019-12-28,"Merci pour la rencontre d’aujourd'hui à Ottawa, @BlaineHiggs. Nous allons continuer de travailler ensemble dans d’importants dossiers comme les soins de santé, l’environnement, les emplois et le bois d’œuvre pour améliorer la vie des Néo-Brunswickois.",2019-12-16
A true Democrat Party leader!,2019-12-28,"A great singer with an unforgettable voice, Monique Leyrac left a lasting mark on Quebec culture. Sending my deepest condolences to her family & loved ones.",2019-12-16
What kind of an animal is this?,2019-12-28,"Une grande chanteuse à la voix inoubliable, Monique Leyrac a laissé une marque indélébile sur la culture québécoise. J’offre mes plus sincères condoléances à sa famille et à ses proches.",2019-12-16
"Hillary should give it another try, but this time don’t forget Wisconsin, Pennsylvania, Michigan, North Carolina & others!",2019-12-28,"Today marks 100 years since @UMQuebec started representing and supporting Quebec communities. Congratulations on a century of building a better, stronger Quebec! #100ansUMQ",2019-12-15
"Come on Crazy Nancy, do it!",2019-12-28,L’@UMQuebec représente et soutient les communautés du Québec depuis maintenant 100 ans. Félicitations pour un siècle de contributions à bâtir un Québec meilleur et plus fort! #100ansUMQ,2019-12-15
He made same prediction in 2016. Nobody ever said Michael was stupid!,2019-12-28,"Congratulations to Craig Oliver on his retirement from @CTVNews after over four decades of tremendous contributions to Canadian journalism. Wishing you all the best for the future, Craig!",2019-12-15
"Wow Crazy Nancy, what’s going on? This is big stuff!",2019-12-28,"Félicitations à Craig Oliver qui prend sa retraite de @CTVNews après plus de quatre décennies de contributions exceptionnelles au journalisme canadien. Je vous offre mes meilleurs vœux pour l'avenir, Craig!",2019-12-15
"@OANN is doing incredible reporting. If Lamestream Media did the same, they would get respect back. At All-Time Low!",2019-12-28,"I had a good meeting with Premier @francoislegault in Montreal today. We focused on some of our shared priorities to make life better for Quebecers: moving forward on the new NAFTA, investing in infrastructure and housing, and fighting climate change.",2019-12-13
Thanks Kayleigh!,2019-12-28,"J’ai eu une bonne discussion avec le PM @francoislegault à Montréal aujourd’hui sur nos priorités communes pour améliorer la vie des Québécois : aller de l’avant avec le nouvel ALENA, investir dans l’infrastructure et le logement et lutter contre les changements climatiques.",2019-12-13
“Dow closes at another All-Time High!” @cvpayne @FoxBusiness,2019-12-27,Flying for the holidays? Read this thread to know what you can expect with the new Air Passenger Bill of Rights ,2019-12-13
So interesting to see Nancy Pelosi demanding fairness from @senatemajldr McConnell when she presided over the most unfair hearing in the history of the United States Congress!,2019-12-27,Vous prévoyez prendre l’avion pendant les Fêtes? Lisez ce fil pour obtenir un aperçu de ce à quoi vous pouvez vous attendre de la nouvelle Déclaration des droits des passagers aériens ,2019-12-13
"....and native culture – S.216/Spokane Tribe, S.256/Native Languages and NDAA Sec. 2870 officially recognizing Little Shell Tribe of Chippewa Indians. My great honor to do so!",2019-12-27,"Flying can be stressful, especially around the holidays. But starting Sunday, the final phase of Air Passenger Rights will come into effect, so your holiday travels can be focused on family, and not on the stress of flying. Click here to know your rights: https://rppa-appr.ca/eng",2019-12-13
Thank YOU Indian Country for being such an IMPORTANT part of the American story! I recently signed 3 bills to support tribal sovereignty....,2019-12-27,"Prendre l'avion peut être stressant, surtout pendant les Fêtes. Ce dimanche, la dernière phase de la charte des droits des passagers aériens entrera en vigueur. Vous pourrez alors vous concentrer sur votre famille et non sur le stress. Détails : https://rppa-appr.ca/fra",2019-12-13
